id,name,desc
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,Winnti Group,External references: 8 - Revoked state: False
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,APT30,External references: 4 - Revoked state: False
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,Thrip,External references: 3 - Revoked state: False
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,Dragonfly,External references: 13 - Revoked state: False
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,Threat Group-1314,External references: 4 - Revoked state: False
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,APT29,External references: 32 - Revoked state: False
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,Leafminer,External references: 5 - Revoked state: False
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,APT17,External references: 4 - Revoked state: False
intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,TA459,External references: 3 - Revoked state: False
intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d,Suckfly,External references: 4 - Revoked state: False
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,PROMETHIUM,External references: 7 - Revoked state: False
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,MuddyWater,External references: 15 - Revoked state: False
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,FIN8,External references: 4 - Revoked state: False
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,DarkHydrus,External references: 4 - Revoked state: False
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,Ke3chang,External references: 11 - Revoked state: False
intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,admin@338,External references: 3 - Revoked state: False
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,PLATINUM,External references: 3 - Revoked state: False
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,Lotus Blossom,External references: 7 - Revoked state: False
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,Molerats,External references: 9 - Revoked state: False
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,APT38,External references: 13 - Revoked state: False
intrusion-set--23b6a0f5-fa95-46f9-a6f3-4549c5e45ec8,Night Dragon,External references: 3 - Revoked state: False
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,Sowbug,External references: 3 - Revoked state: False
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,Gorgon Group,External references: 3 - Revoked state: False
intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,NEODYMIUM,External references: 5 - Revoked state: False
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,Rancor,External references: 3 - Revoked state: False
intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,Putter Panda,External references: 6 - Revoked state: False
intrusion-set--76d59913-1d24-4992-a8ac-05a3eb093f71,Dragonfly 2.0,External references: 11 - Revoked state: False
intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,DragonOK,External references: 4 - Revoked state: False
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,FIN7,External references: 14 - Revoked state: False
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,CopyKittens,External references: 5 - Revoked state: False
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,Gamaredon Group,External references: 5 - Revoked state: False
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,PittyTiger,External references: 4 - Revoked state: False
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,Sandworm Team,External references: 19 - Revoked state: False
intrusion-set--7a0d4c09-dfe7-4fa2-965a-1a0e42fedd70,Stolen Pencil,External references: 3 - Revoked state: True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,APT39,External references: 12 - Revoked state: False
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,FIN10,External references: 3 - Revoked state: False
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,APT19,External references: 11 - Revoked state: False
intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,TEMP.Veles,External references: 9 - Revoked state: False
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,FIN6,External references: 10 - Revoked state: False
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,The White Company,External references: 2 - Revoked state: False
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,WIRTE,External references: 3 - Revoked state: False
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,TA505,External references: 6 - Revoked state: False
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,Group5,External references: 3 - Revoked state: False
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,Tropic Trooper,External references: 8 - Revoked state: False
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,GALLIUM,External references: 5 - Revoked state: False
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,Machete,External references: 8 - Revoked state: False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,APT41,External references: 6 - Revoked state: False
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,External references: 3 - Revoked state: False
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,Silence,External references: 6 - Revoked state: False
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,BlackTech,External references: 2 - Revoked state: False
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,Inception,External references: 7 - Revoked state: False
intrusion-set--6b1b551c-d770-4f95-8cfc-3cd253c4c04e,Frankenstein,External references: 2 - Revoked state: False
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,Wizard Spider,External references: 10 - Revoked state: False
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,Mofang,External references: 2 - Revoked state: False
intrusion-set--5e78ae92-3ffd-4b16-bf62-e798529d73f1,Sharpshooter,External references: 2 - Revoked state: False
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,Whitefly,External references: 2 - Revoked state: False
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,Blue Mockingbird,External references: 2 - Revoked state: False
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,Windshift,External references: 5 - Revoked state: False
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,Chimera,External references: 4 - Revoked state: False
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,GOLD SOUTHFIELD,External references: 4 - Revoked state: False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,Kimsuky,External references: 17 - Revoked state: False
intrusion-set--28f04ed3-8e91-4805-b1f6-869020517871,Operation Wocao,External references: 3 - Revoked state: False
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,Fox Kitten,External references: 9 - Revoked state: False
intrusion-set--dc5e2999-ca1a-47d4-8d12-a6984b138a1b,UNC2452,External references: 9 - Revoked state: True
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,Indrik Spider,External references: 5 - Revoked state: False
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,Evilnum,External references: 3 - Revoked state: False
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,Sidewinder,External references: 6 - Revoked state: False
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,Volatile Cedar,External references: 5 - Revoked state: False
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,Windigo,External references: 3 - Revoked state: False
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,HAFNIUM,External references: 4 - Revoked state: False
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,Higaisa,External references: 4 - Revoked state: False
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,TA551,External references: 6 - Revoked state: False
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,Mustang Panda,External references: 10 - Revoked state: False
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,Ajax Security Team,External references: 11 - Revoked state: False
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,Tonto Team,External references: 14 - Revoked state: False
intrusion-set--bb82e0b0-6e9c-439f-970a-4c917a74c5f2,CostaRicto,External references: 2 - Revoked state: False
intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,Nomadic Octopus,External references: 7 - Revoked state: False
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,Transparent Tribe,External references: 11 - Revoked state: False
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,BackdoorDiplomacy,External references: 2 - Revoked state: False
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,Ferocious Kitten,External references: 2 - Revoked state: False
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,Andariel,External references: 9 - Revoked state: False
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,TeamTNT,External references: 10 - Revoked state: False
